"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"361";"k__Fungi";"p__Glomeromycota";"c__Glomeromycetes";"o__Glomerales";"f__Glomeraceae";NA;NA
"362";"k__Fungi";"p__Ascomycota";"c__Pezizomycetes";"o__Pezizales";"f__Pyronemataceae";"g__Pseudaleuria";NA
"363";"k__Fungi";NA;NA;NA;NA;NA;NA
"364";"k__Fungi";"p__Ascomycota";NA;NA;NA;NA;NA
"365";"k__Fungi";NA;NA;NA;NA;NA;NA
"366";"k__Fungi";NA;NA;NA;NA;NA;NA
"367";"k__Fungi";NA;NA;NA;NA;NA;NA
"368";"k__Fungi";NA;NA;NA;NA;NA;NA
"369";"k__Fungi";NA;NA;NA;NA;NA;NA
"370";"k__Fungi";NA;NA;NA;NA;NA;NA
"371";"k__Fungi";NA;NA;NA;NA;NA;NA
"372";"k__Fungi";NA;NA;NA;NA;NA;NA
"373";"k__Fungi";"p__Ascomycota";"c__Eurotiomycetes";"o__Chaetothyriales";"f__Cyphellophoraceae";"g__Cyphellophora";"s__phyllostachydis"
"374";"k__Fungi";NA;NA;NA;NA;NA;NA
"375";"k__Fungi";NA;NA;NA;NA;NA;NA
"376";"k__Fungi";NA;NA;NA;NA;NA;NA
"377";"k__Fungi";NA;NA;NA;NA;NA;NA
"378";"k__Fungi";NA;NA;NA;NA;NA;NA
"379";"k__Fungi";NA;NA;NA;NA;NA;NA
"380";"k__Fungi";"p__Ascomycota";NA;NA;NA;NA;NA
"381";"k__Fungi";NA;NA;NA;NA;NA;NA
"382";"k__Fungi";NA;NA;NA;NA;NA;NA
"383";"k__Fungi";NA;NA;NA;NA;NA;NA
"384";"k__Fungi";NA;NA;NA;NA;NA;NA
"385";"k__Fungi";NA;NA;NA;NA;NA;NA
"386";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"387";"k__Fungi";NA;NA;NA;NA;NA;NA
"388";"k__Fungi";"p__Basidiomycota";NA;NA;NA;NA;NA
"389";"k__Fungi";NA;NA;NA;NA;NA;NA
"390";"k__Fungi";NA;NA;NA;NA;NA;NA
"391";"k__Fungi";NA;NA;NA;NA;NA;NA
"392";"k__Fungi";NA;NA;NA;NA;NA;NA
"393";"k__Fungi";NA;NA;NA;NA;NA;NA
"394";"k__Fungi";NA;NA;NA;NA;NA;NA
"395";"k__Fungi";NA;NA;NA;NA;NA;NA
"396";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Trichosporonales";"f__Trichosporonaceae";"g__Trichosporon";"s__coremiiforme"
"397";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Branch06";NA;NA;NA
"398";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Helotiales";"f__Helotiales_fam_Incertae_sedis";"g__Mycoarthris";"s__corallina"
"399";"k__Fungi";NA;NA;NA;NA;NA;NA
"400";"k__Fungi";NA;NA;NA;NA;NA;NA
"401";"k__Fungi";NA;NA;NA;NA;NA;NA
"402";"k__Fungi";NA;NA;NA;NA;NA;NA
"403";"k__Fungi";NA;NA;NA;NA;NA;NA
"404";"k__Fungi";NA;NA;NA;NA;NA;NA
"405";"k__Fungi";NA;NA;NA;NA;NA;NA
"406";"k__Fungi";NA;NA;NA;NA;NA;NA
"407";"k__Fungi";NA;NA;NA;NA;NA;NA
"408";"k__Fungi";NA;NA;NA;NA;NA;NA
"409";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Helotiales";NA;NA;NA
"410";"k__Fungi";NA;NA;NA;NA;NA;NA
"411";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Bartaliniaceae";"g__Truncatella";"s__angustata"
"412";"k__Fungi";NA;NA;NA;NA;NA;NA
"413";"k__Fungi";NA;NA;NA;NA;NA;NA
"414";"k__Fungi";NA;NA;NA;NA;NA;NA
"415";"k__Fungi";NA;NA;NA;NA;NA;NA
