"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"193";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"194";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Rhodocyclaceae";"Zoogloea"
"195";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";NA;NA
"196";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Atopostipes"
"197";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Asaccharospora"
"198";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA
"199";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"200";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"201";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Raoultella"
"202";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"203";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Bordetella"
"204";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"205";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Erysipelothrix"
"206";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
"207";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"208";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";NA;NA
"209";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Gracilibacillus"
"210";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"211";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Aeribacillus"
"212";"Bacteria";"Actinobacteria";"Thermoleophilia";"Solirubrobacterales";NA;NA
"213";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Anoxybacillus"
"214";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA
"215";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Planococcaceae";"Lysinibacillus"
"216";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"217";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Globicatella"
"218";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus"
"219";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae";"Desulfosporosinus"
"220";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"221";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";NA
"222";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"223";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Ornithinibacillus"
"224";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Pediococcus"
"225";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Comamonas"
"226";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"227";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Jeotgalicoccus"
"228";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"229";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"230";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"231";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA
"232";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"233";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"234";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
